City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Voznesenye,RU,33.03,broken clouds,61.0106,35.4781,Guesthouse Jakornaya
500,Quimper,FR,42.8,clear sky,48.0,-4.1,Hôtel Escale Oceania Quimper
501,Monte Alegre De Minas,BR,69.8,clear sky,-18.8706,-48.8808,Hotel Via Hotel
502,Darhan,MN,30.7,overcast clouds,49.4867,105.9228,Buudai Hotel
504,Broken Hill,AU,55.4,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
506,Qesarya,IL,57.0,scattered clouds,32.5189,34.9046,Dan Caesarea
507,Kabompo,ZM,59.81,clear sky,-13.5927,24.2008,Big Tree
509,Vawkavysk,BY,47.01,overcast clouds,53.1561,24.4513,Krasnosiel'skii
512,Springbok,ZA,69.75,clear sky,-29.6643,17.8865,Undulata Country Lodge
513,Launceston,AU,48.2,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
516,Virginia Beach,US,69.01,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
519,Normandin,CA,55.4,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
523,Sale,MA,60.01,few clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
528,Chateaudun,FR,48.2,overcast clouds,48.0833,1.3333,Logis Hôtel entre Beauce et Perche
530,Carberry,CA,62.6,scattered clouds,49.8689,-99.3602,Carberry Motor Inn
535,Flinders,AU,60.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
537,Amurzet,RU,48.42,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
538,Bacsalmas,HU,45.72,few clouds,46.1265,19.3326,Őszi Napfény Integrált Szociális Intézmény
540,Malanje,AO,63.88,light rain,-9.5402,16.340999999999998,Malanje Hotel
542,Te Anau,NZ,55.92,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
545,Itanagar,IN,66.07,few clouds,27.1,93.6167,OYO 45507 Hotel Moomsie
546,Gravdal,NO,35.29,light snow,68.1214,13.5031,Skreda Rorbusuiter
550,Danjiangkou,CN,55.4,heavy intensity rain,32.5428,111.5086,Dongsheng Guesthouse
566,Caraquet,CA,32.0,scattered clouds,47.7941,-64.9386,Gite Le Poirier
570,Lasa,IT,48.0,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
579,Alekseyevka,RU,40.82,broken clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
580,Rusape,ZW,52.9,clear sky,-18.5278,32.1284,Surrey Lodge
581,Ucluelet,CA,50.0,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
583,Marienburg,PL,39.99,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
584,Makat,KZ,60.96,few clouds,47.6469,53.3463,Umit
586,Chimbote,PE,69.66,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
587,Kjopsvik,NO,36.0,snow,68.097,16.3742,Stetind Hotell
589,Lodingen,NO,34.0,light snow,68.414,15.9951,Brygga Hotell & Restaurant
591,Nara,JP,52.0,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
592,Salina,US,63.0,clear sky,38.8403,-97.6114,Holiday Inn Express & Suites Salina
595,Yarmouth,US,55.0,broken clouds,41.7057,-70.2286,Blue Rock Resort
596,Praia Da Vitoria,PT,61.0,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
597,Lieto,FI,35.6,clear sky,60.5103,22.4618,Better
598,Peniche,PT,59.0,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
601,Seara,PT,55.0,overcast clouds,41.1818,-7.8003,Six Senses Douro Valley
602,Saint Anthony,US,48.2,overcast clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
604,Abbeyleix,IE,33.01,overcast clouds,52.8992,-7.3575,Abbeyleix Manor Hotel
605,Northam,GB,41.0,few clouds,51.0333,-4.2167,Durrant House Hotel
607,Linjiang,CN,48.47,overcast clouds,41.8069,126.9078,格林豪泰
611,Mezhgorye,UA,37.4,overcast clouds,44.9667,34.4167,"Usad'ba ""Mezhgor'ye"""
614,Outjo,NA,64.22,clear sky,-20.1167,16.15,Kai-Oms Backpackers Lodge
618,Saurimo,AO,60.94,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
